name,bio
Ashskin Spellmane,"Spellmanes are ferocious, solitary creatures who inhabit very diverse
ecosystems in Rodia. Only during mating season and gestation can two
creatures of this species coexist.

Vulcanar believes the Ashskins give the Great Pandemonium a homely,
welcoming feel. He recommends approaching these creatures calmly,
unarmed if possible, to pet and play with them, as, according to him, they are
tame and friendly with visitors.
"
Ashwood Ent,"The Nature Magi, alarmed by the progressive deterioration of the forests,
decided to animate the strongest trees to preserve the ecosystem. They raised
their roots, shook their branches and finally were able to walk on the
deteriorated land that needed their protection.

Ashwood Ents are rarely aggressive, and often walk through the forest looking
for injured animals to help them.
"
Aspect of Change,"This creature's presence ensures the gestation cycle of the other aspects
remains active. In addition, it is capable of altering the weather, turning even a
light drizzle into hail. It was created thousands of years ago by six powerful
Nature Magi when the increased use of magic began to affect the cycle of the
seasons. That is why Aspects are destined to confront any spellcasters they
come across.
"
Aspect of Decay,"Egas the Necromancer once corrupted some Aspects with his power so they
would fight in his army during the Unification War. However, once Egas was
defeated, they dispersed. They live in places where the land is sterile and the
seasons never seem to alter the climate or the ecosystem much. Some
travelers fear these creatures and run away from their terrifying appearance,
but they are not aggressive creatures.
"
Aspect of Seasons,"The purpose of this creature is to ensure that the rest of the Aspects do the
jobs for which they are regularly created, but its main concern in recent
centuries has been to protect them from those who sometimes attack them out
of fear or unfounded hate. Unlike the other seasonal Aspects, it uses lethal
force against anyone who opposes its mission. Moreover, its powers can bring
balance to any and all seasonal adversities.
"
Aspect of Time,"It appears mysteriously in Rodia to witness events of historical significance and
to ensure the flow of time is not disrupted. It was created in the past by Milner
and Helmholtz after the ravages of the Unification War, when several temporal
anomalies manifested in the form of rifts. When one such rift appears, the
Aspect of Time instantaneously appears to close it with a wave of its hand.
"
Aspen Ent,"The Aspen Ent is always accompanied by the unmistakable sound of the birds
nesting in its head. Although it respects the cycle of life, it does not allow
predators to feed on its guests. Many animals fear it for this reason, although
this creature never goes beyond scaring them.
"
Assault Griffon,"Griffons protect the Azure Dream, and there is always a legion of them flying
over the clouds in search of intruders. During mating season, their flocks gather
in the air and can even block out the sun across a wide area.

Although their ability to wield weapons cannot be compared to that of a human,
Assault Griffons can inflict great damage by charging at their enemies with
great speed, passing them by without exposing themselves to a counterattack.
"
Astro Construct,"Constructs need sunlight in order to move. They have batteries inside them
that gather this energy, but this is not an efficient way of recharging them
during the rainy seasons or in places where the sky is often cloudy. In response
to this, several alternatives have been devised: buying pre-charged batteries,
recharging the batteries with spells, and the Astro Construct. This creature is
constantly receiving energy, not only from the sun, but also from the stars and
the moon, thanks to its much more powerful light receptors. Because this
cutting-edge technology requires the use of one Nether Orb for every one
hundred receptors, its price is simply astronomical.
"
Asura Blooddrinker,"The Asura are an ancient tribe that lives and dies in battle. These creatures
shook the foundations of human civilization a thousand years after the Watcher
War.

Before entering battle, Asura Blooddrinkers perform a ritual that culminates
with the sacrifice of a creature. For the next twenty-four hours, anyone who was
present in the ritual can regenerate their wounds by feeding on the blood of
their enemies.
"
Asura Bonebreaker,"The Asura conquered a large number of human settlements in what would later
be known as Rodia. Fearful of being next, the inhabitants of the surrounding
towns and cities began to organize themselves.

Asura Bonebreakers are spiritual leaders who constantly remind their people of
the meaning of their existence. They are loyal to Gonfurian, who grants them
the power to help their allies in battle.
"
