name,description,material_name
Reticence,Enemies gain 35% less benefit from their Artifacts' Stat Slots (other than Health). This trait does not stack.,Sludgechemist Gel
Yuck,Enemies that are Disarmed cannot dodge or deal critical damage.,Swordslime Gel
Master of Concoction,"If all the creatures in your party are Concoctions, they have a 50% chance to Attack each enemy with Disarmed at the start of their turns. This trait does not stack.",Sigil of the Concoction
Helix,Your creatures have 20% more Defense for each non-Ethereal Arsenal Spell they have equipped. This trait does not stack.,Astro Soul
Stay Inspired,Your creatures have 20% more Intelligence for each time any of your creatures have manually Cast an Arsenal Spell in the current battle. This trait does not stack.,Bloodmail Soul
Defiance,"At the start of battle, this creature and the creatures adjacent to it Cast a random Living Shield spell.",Heavenshield Soul
Chaos Through Creation,"After this creature Attacks, it Casts a Living Lance spell that matches the target's class.",Magma Soul
Forsaken Horizon,"This creature can Cast Arsenal Spells without consuming Charges, and these spells are Cast 2 additional times.",Nightveil Soul
Feed The Fire,Your creatures have 20% more Attack for each time any of your creatures have manually Cast an Arsenal Spell in the current battle. This trait does not stack.,Redsteel Soul
Masquerade,"At the start of battle, your creatures gain 2 random Arsenal Spells. This trait does not stack.",Silverbone Construct
I Am Above,"After one of your creatures manually Casts an Arsenal Spell, your other creatures' Artifacts have a 35% chance to Cast the spell in their Spell Slot. This trait does not stack.",Skywatch Soul
Safety Pin,"After this creature is damaged by an attack or spell, it has a 30% chance to Cast Living Armor. After this creature Attacks, it Casts Living Axe.",Treewall Soul
Justice For None,"When your creatures are afflicted with a debuff, they have a 25% chance to Cast Living Helmet. This trait does not stack.",Willow Soul
Master of the Constructs,Your Constructs' Arsenal Spell spells are 70% more potent. This trait does not stack.,Sigil of the Construct
Shellshock,"After this creature is Attacked, it Seals one of the target's Spell Gems and Provokes.",Bloodsucker Carapace
No Prayers,"When this creature Attacks, it deals 15% more damage for each Sealed Spell Gem the target has.",Elder Carapace
Munch,"After this creature Attacks, it Seals one of the target's Spell Gems and gains 20% Attack.",Frostbite Carapace
Shorted Out,"After this creature is affected by an enemy's spell, it Seals the Spell Gem and gains a copy of it.",Treasure Carapace
Something to Complain About,Enemies deal 10% less damage for each Sealed Spell Gem they have.,Possessed Carapace
Relish the Kill,"After this creature kills an enemy, it Seals the enemy's Spell Gems and gains 20% Attack and 10% Defense for each Spell Gem it sealed.",Rainbow Carapace
Myrtle's Greed,"After an ally is killed, this creature gains 50% of its stats.",Myrtle's Scales
Myrtle's Hunger,"After an enemy is killed, this creature gains 20% of its stats.",Myrtle's Shell
Myrtle's Perseverence,"After a creature is killed, this creature is resurrected with 100% Health.",Myrtle's Tooth
Master of Crunchers,"If all the creatures in your party are Crunchers, they deal 10% more damage for each Sealed enemy Spell Gem. This trait does not stack.",Sigil of the Cruncher
Blood Weapon,"This creature always has Mending and Leeching, and this creature receives 100% more healing from all sources.",Blood Hammer
Royal Authority,"This creature always has Protected and Repelling, and Defends at the end of its turn.",Dawn Hammer
Amalgamy,"After this creature Attacks, it gains 30% Defense.",Dusk Hammer
Inner Force,Your creatures deal additional damage with attacks and spells equal to 50% of the potency of their Barrier.,Heretic Hammer
Faith's Armor,"After this creature Attacks or is Attacked, it gains Shelled.",Holy Hammer
Galvanization,"After this creature Attacks, it gains a Barrier that absorbs damage equal to 50% of its Health.",Mist Hammer
Lunar Ending,"After this creature Attacks, it has a 75% chance to Cast Holy Smite. Otherwise, it Casts Holy Nova.",Moon Hammer
Bathed In Light,"After this creature Attacks, it recovers 75% Health.",Sun Hammer
Master of Crusaders,Your Crusaders start battles with Shelled.,Sigil of the Crusader
Anomaly,The damage this creature deals with attacks and spells is based on its Defense rather than its Attack or Intelligence. This creature deals 50% less damage.,Ceaseless Crown
Solence,"After this creature is Attacked, it sets the enemy's stats equal to its lowest stat.",Celestial Crown
Consciousness,"At the start of battle, this creature gains Maximum Health equal to 15% of your other creatures' Maximum Health.",Eternal Crown
Celestial Fortitude,Your creatures cannot take damage that exceeds 20% of their Maximum Health. The amount of damage prevented cannot exceed 100% of the creature's Maximum Health.,Immortal Crown
Calamity,This creature deals additional damage equal to 75% of its missing Health.,Infinite Crown
Singularity,"Your creatures have additional Attack, Intelligence, and Defense equal to 10% of their Current Health. This trait does not stack.",Omnipotent Crown
Reconstructed Memories,"After this creature Attacks, it Casts the last spell that any creature Cast in the current battle.",Supreme Crown
Equilibrium,This creature deals additional damage with attacks and spells equal to 25% of the total damage the enemy has received in the current battle.,Timeless Crown
Noetherian's Adamance,"After your creatures' Barrier buffs are destroyed, they gain Shelled.",Noetherian's Right Hand
Noetherian's Bouquet,Your creatures' damage bypasses the enemies' Barrier buffs.,Noetherian's Soul
Noetherian's Objection,"After an enemy's Barrier is destroyed, it takes damage equal to 100% of the Barrier's original potency. This trait does not stack.",Noetherian's Left Hand
Master of Demigods,"At the start of battle, your Demigods' stats are averaged and then increased by 25%. This trait does not stack.",Sigil of the Demigod
Eggnapper,"At the start of battle, this creature Seals your creatures' non-ethereal Spell Gems and gains a copy of them.",Bunny Egg
Giant's Destruction,This creature deals 200% more damage to Nature creatures and takes 65% less damage from them.,Cinder Bracer
Devil's Deceit,This creature deals 200% more damage to Chaos creatures and takes 65% less damage from them.,Doom Bracer
You Ruined Christmas,Your Devil creatures share their innate traits with each other.,Christmas Bracer
Revenant's Toll,This creature deals 200% more damage to Death creatures and takes 65% less damage from them.,Skull Bracer
Smoking Kills,"Your creatures deal 100% more damage to creatures that belong to their own class, and take 35% less damage from them. This trait does not stack.",Smoke Bracer
Angel's Horror,This creature deals 200% more damage to Life creatures and takes 65% less damage from them.,Stone Bracer
Dragon's Undoing,This creature deals 200% more damage to Sorcery creatures and takes 65% less damage from them.,Twisted Bracer
Master of Devils,Increases the additional damage granted by your Devils' innate traits from 200% to 300%.,Sigil of the Devil
Diabolic Celebration,"At the start of battle, your Diabolic Horde gain a random Spell Gem that belongs to their class for each Diabolic Horde fighting on your side. This trait does not stack.",Bhuta Flag
Diabolic Fortitude,Your Diabolic Horde have 10% more Health for each Diabolic Horde fighting on your side. This trait does not stack.,Commander Flag
Diabolic Onslaught,Your Diabolic Horde have 10% more Speed for each Diabolic Horde fighting on your side. This trait does not stack.,Henchman Flag
Diabolic Heritage,"After your Diabolic Horde receive a buff, they share a copy of that buff with all the Diabolic Horde fighting on your side.",Insurgent Flag
Diabolic Power,Your Diabolic Horde have 10% more Intelligence for each Diabolic Horde fighting on your side. This trait does not stack.,Intruder Flag
Diabolic Brilliance,Your Diabolic Horde's Spell Gems have 1 more Charge for each Diabolic Horde fighting on your side. This trait does not stack.,Menace Flag
Diabolic Link,"At the start of battle, your Diabolic Horde share their Maximum Health with each other. Then, their Maximum Health is decreased by 75%.",Nemesis Flag
